Title,Featured Artists,Album,Time,Year,Month,Day,Lyrics,Current Streams,Track Num,Music Video
Where I'm Going,none,You Haunt Me,3:20,2014,9,16,"Ah ah ah. Ah ah ah. Ah ah ah. Ah ah ah. I was born in a cloud, floating around. With nothing to hold to. Soaked in the sound, deep underground. Just like I told you. Climbing the rungs, back to the top. Look out the skyline. Finding the one all of a sudden.That's what I want. That's what I need. That's where I'm going. That's who I wanna be. All of my love was wasted on you. That's how it happens. That's what I wanna do. Ah ah ah. Ah ah ah. Ah ah ah. Ah ah ah. Back in the days. Boys used to play. And women were fearless. Now we're afraid stuck in the daze. Please don't come near us. Never want a thing just to fall apart. Then I went ahead and I opened my heart. My heart, my heart. That's what I want. That's what I need. That's where I'm going. That's who I wanna be. All of my love was wasted on you. That's how it happens. That's what I wanna do. I got you right where I want you. You know I'm gonna come for you. I got you right where I want you. You know I'm gonna come for you, for you. That's what I want. That's what I need. That's where I'm going. That's who I wanna be. All of my love was wasted on you. That's how it happens. That's what I wanna do.",2274084,1,yes
Ghost,none,You Haunt Me,3:37,2014,9,16,"Go ahead and stand up straight, Straight against the wall. Why did I go before you, Pick you up when you fall? Was I too drunk to say what I said to you? Was I too blind to go and see straight through you? Ghost. You're a ghost. You're a ghost. You're a ghost. You're a ghost. You flew out on a plane, And crashed into the ocean. And then you haunted me, Don't have a clue what's in motion. So every now and then it feels so soothing, When you float on a bit and move right through me. Ghost. You're a ghost. You're a ghost. You're a ghost. You're a ghost. Yeah. One, two, three, four. Get up save face. Find your way back to the grave. Undead go find your way back home. Get up save face. Find your way back to the grave. You'll never find your way back home, You're a ghost. Get up save face. Find your way back to the grave (you're a ghost). Undead go find your way back home (you're a ghost). Get up save face. Find your way back to the grave (you're a ghost). You'll never find your way back home (you're a ghost). You're a ghost. Ghost. You're a ghost. You're a ghost. You're a ghost. You're a ghost.",8114359,2,yes
Gold,none,You Haunt Me,3:52,2014,9,16,"Mouth is made of metal, metal, metal. Pocket full of yellow, yellow. Pocket full of gold, And I hope you find, I hope you find your dreams, yeah… (Yeah) What did you say back to me? I'm dreaming of maybach cruising. Maybe talking crazy, but I want it. A hundred thousand ways of choosing, Who the hell is out and who's in? Trouble, maybe I'm too subtle. Mouth made of metal, metal, metal. Pocket full of yellow, yellow. Pocket full of gold. And I hope you find, I hope you find your dream. And darling never settle, settle, settle, Chasing down the devil, devil, Chasing down the gods, And I hope you find, I hope you find your dream. I'm living like a silent movie. Shut your mouth and see straight through me. Finding that you're hiding in your money (money, m-m-money). I got a million ways of losing, But nothing in my life worth proving, Chasing, all my time is wasted. Mouth is made of metal, metal, metal. Pocket full of yellow, yellow. Pocket full of gold, And I hope you find, I hope you find your dreams. And darling never settle, settle, settle, Chasing down the devil, devil, Chasing down the gods, And I hope you find, I hope you find your dream. It's the push and the pull. It's the rise and the fall. I don't owe you a single thing. I don't owe you anything. It's the push and the pull. It's the big and the small. I don't owe you a single thing, Not a goddamn thing. My mouth is made of metal, metal, metal. Pocket full of yellow, yellow, Pocket full of gold, And I hope you find, I hope you find your dream. And darling never settle, settle, settle, Chasing down the devil, devil, Chasing down the god, And I hope you find, I hope you found your dream. My mouth is made of metal, metal, metal. Pocket full of yellow, yellow, Pocket full of gold, And I hope you find, I hope you find your dream (I don't owe you anything). And darling never settle, settle, settle, Chasing down the devil, devil, Chasing down the gods, And I hope you found, I hope you find your dream (I don't owe you anything). I hope you find your dream.",10264438,3,yes
You Haunt Me,none,You Haunt Me,3:42,2014,9,16,"I'm selfish, never didn't think about anyone but myself. I'm careless, never did care about anyone else. You're fearless, never been afraid, won't start that now. Not helpless, never want help, rather go to hell. Whiskey and wine, Night after night, You haunt me. Losing my mind, Set it on fire, You haunt me. I'm never gonna let you go-oh-oh, Oh oh oh. I'm never gonna let you go-oh-oh. I'm never gonna let you go-oh-oh. I'm aimless, heading toward nowhere at the speed of light. Still dreamless, now that you're gone I think I lost my fight. You're loose-lipped, tell me what'd you think about all last night. You're foolish, falling for a fool, I guess I'm not that wise. Whiskey and rum, Blood on my tongue, You haunt me. Tonic and gin, Blood's getting thin, You haunt me. I'm never gonna let you go-oh-oh, Oh oh oh. I'm never gonna let you go-oh-oh. I'm never gonna let you go-oh-oh. Let me down easy now. Something else to write about again, Found my way on a plane, Things will never be the same again. Whiskey and rum, Blood on my tongue, You haunt me. Tonic and gin, Blood's getting thin, You haunt me. I'm never gonna let you go-oh-oh, Oh oh oh. I'm never gonna let you go-oh-oh. I'm never gonna gonna let you go. I'm never gonna gonna let you go. I'm never gonna let you go.",5029037,4,yes
Found You Out,none,You Haunt Me,3:37,2014,9,16,"I'm running, Tired of this complex. I was jealous, knowing that you wanted more. Are you sure? How was it? Did you get it faster? I hope it's everything you want and more. There's the door. A taker and a giver, Oh you made me shiver. Couldn't I deliver? Oh I guess I found you out. My table didn't need a Judas. Your pride it turned you into Brutus now, Now. I paid until you couldn't cover. I lost a confidante and lover now, Oh now. A taker and a giver, Oh you make me shiver. Could not deliver, Oh I guess I found you. A taker and a giver, Oh you make me shiver. Could not deliver, Oh I guess I found you out. Oh I guess I found you out. (Yeah) I was so sick of it - your lies and selfishness. I'll be the bigger man while you act like you're innocent. No matter where you go, your lies will follow you. You think you're back on the top of the pack but wolves will swallow you. A taker and a giver, Oh you made me shiver. Couldn't I deliver, Oh I guess I found you out. Oh I guess I found you out. Now I know we didn't fit. I wish I could have quit. Did having sex with other men make you feel you were relevant? Just for the hell of it, You made me feel like shit. I fell in love the second that I met you, Now I'm over it.",1722737,5,yes
"Nowhere / Bloodlines, Pt. I",none,You Haunt Me,4:32,2014,9,16,"You woke me up in the middle of the night, Lit a candle and we bathed in the light. You said you're scared of the city we're in. Want to make it better, but I can't begin to, Make it alright. Write another story, we're fine. We'll make it alright. We'll write another story, we're fine. You said you know that you're going nowhere, Know that you're going nowhere, Know that you're going nowhere. I'll follow you there. I'll follow you there. Losing patience with the circles we draw, Talking slow and now I'm seeing all my flaws. I'm having trouble being honest again, Put the bottle down and slowly begin to, Make it alright. Write another story, we're fine. We'll make it alright. We'll write another story, we're fine. I know that I'm going nowhere, Know that I'm going nowhere, Know that I'm going nowhere. Follow me there. I know that I'm going nowhere, Know that I'm going nowhere, Know that I'm going nowhere. You follow me there. I'll try to figure out how to say this, I'm losing my mind in these mazes. I'm losing my mind in these pages. There's blood on my hands I can taste it. Give us back the time that we wasted. If I'd have know how it ends, I'd have changed it, All those fucking nights that we wasted, And all those fucking nights that we wasted. I believed in you and then you fell apart. You broke my trust, you broke my heart, Again, Again. One more drop your stomach dies. Disintegrate before my eyes, Again, Again, Again. Waiting on your bloodlines, Waiting on your bloodlines, Again. How could you make me wait? Draw a picture with your bloodlines, Picture with the bloodlines, A thousand words and then escape.",1610253,6,no
Inferno,Lizzy Plapinger,You Haunt Me,2:49,2014,9,16,"I think you clipped my wings to save me from the sun. Forgot my hands and knees, I had to learn a lesson. Oh fearless teacher how'd I ever lose my sight. Why'd I ever try to fight against your path? Somewhere at half my life I wandered in the woods. Can't find a single right, I swear nothing is good. I’m blinded now and darkness shrouds my every sight. Why'd I ever try to fight for my own path? I don't know why. I must be out of my mind. No I'm going, going, going, gone. Going, going, going, gone. I don't know why. I must be out of my mind. I'm just going, going, going, gone. Going, going, going on my own. A leopard, lion, wolf and mountain in my way. I'm coming up for light and I'm coming out of the cave. Only a prodigal could understand my life. Why'd I ever try to fight against your path? I go through hell and back and try to find my place. The poet shows me how I had to fall from grace. The devil stares me down he's trapped himself in ice. Why'd I ever try to fight for my own path? I don't know why. I must be out of my mind. No I'm going, going, going, gone. Going, going, going, gone. I don't know why. I must be out of my mind. I'm just going, going, going, gone. Going, going, going on my own. Going on my own… Own… I don't know why. I must be out of my mind. No I'm going, going, going, gone. Going, going, going, gone. I don't know why. I must be out of my mind. I'm just going, going, going, gone. Going, going, going on my own. I think you clipped my wings to save me from the sun. Forgot my hands and knees, I had to learn a lesson.",1803153,7,no
Leave You,none,You Haunt Me,3:13,2014,9,16,"When you’re standing at the start of what you wanted. Do you ever really think of how it ends? How a broken heart will mend. Or how many people you will lose as friends? When you're fading in and out of being conscious. Do you ever try to make amends? Think of how the plagues will end. Or how you would come back from the bends? I know that dreams come true. But I never thought that I would have to leave you. You, you. (That I would have to leave you). You, you. (That I would have to leave you). I can’t convince myself to keep on faking nonsense. So I’m letting go and pushing you away. There’s no reason left to stay. I can’t afford to wait another forty days. Wasting all that time was weighing on my conscious. I feel undone again, a feeling that I cannot shake. Think I'm finally awake. I'd rather do it right than make it being fake. I know that dreams come true. But I never thought that I would have to leave you. You, you. (That I would have to leave you). You, you. (That I would have to leave you). And I can never go back. To the way things were, to the way that things were, to the way that things were. And I can never go back. To the way things were, to the way that things were, to the way that things were. You, you. (That I would have to leave you). You, you. (That I would have to leave you). You, you. (That I would have to leave you). You, you. (That I would have to leave you). And I can never go back. To the way things were, to the way that things were, to the way that things were. And I can never go back. To the way things were, to the way that things were, to the way that things were. And I can never go back. To the way things were, to the way that things were, to the way that things were. And I can never go back. To the way things were, to the way that things were, to the way that things were.",847486,8,no
Floods,none,You Haunt Me,3:32,2014,9,16,"What the hell did I do wrong? Doesn't matter now you're gone. Now you're gone. Now you're gone. All the things I said and did. When I was a little kid. Did they hurt a little bit? Now you're gone. Now you're gone. I didn't have you very long. You were taken back by God. Now you're gone. Take the knife and twist it in. Now the pain it will begin. I think we're praying for the end. Now you're gone. Now you're gone. Now you're gone. Now you're gone. You watched us drown and sent a flood. Said you did it out of love. Now you're gone. I wanna put you on the dock. Be the jury and the judge. For all that is, will be, and was. Now you're gone. Now you're gone. Now you're gone. Now you're gone. You know that I know so why all the lies? Why are you acting like you're so surprised. Give up, give up and let go. give up, give up and move forward. They say that no one's an island themselves. That's the reason I came to you. When you know that I needed help. Give up, give up and let go. Now you're gone. Now you're gone. Now you're gone. Now you're gone. Now you're gone. Now you’re gone.",713214,9,no
Too Far Gone,none,You Haunt Me,3:27,2014,9,16,"I'm stuck inside of these lines I drew. I didn't speak it but I always knew. That I was too far gone. Can you ever be too far gone? Never mind the things I said before. I overstated and I shouldn't have sworn. That I'm too far gone. Can I ever be too far gone? Too far gone. For you to save me, save me. How couldn't you see that I was crazy? Can we start from the beginning now? It feels like I'm really living now. Maybe, maybe everyone's a little bit jaded. Can we start from the beginning now? It feels like I'm really living now. They always preached it was black and white. So how come somewhere in the middle feels right. Are we too far gone? Can we ever be too far gone? Am I arrogant, should I not assume. That the answer's mine, it can't belong to you. Am I too far gone? Can I ever be too far gone. For you to save me, save me. How couldn't you see that I was crazy? Can we start from the beginning now? It feels like I'm really living now. Maybe, maybe everyone's a little bit jaded. Can we start from the beginning now? It feels like I'm really living now. It feels like I'm really living now. It feels like I'm really living now. It feels like I'm really living now. Am I too far gone. For you to save me, save me. How couldn't you see that I was crazy? Can we start from the beginning now? It feels like I'm really living now. Maybe, maybe everyone's a little bit jaded. Can we start from the beginning now? It feels like I'm really living now. It feels like I'm really living now. It feels like I'm really living now.",2586086,10,no
